epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1605.43,0.93765,0.61531,1.26259,0.95979,0.98214,0.9775,0.73536,0.4591,0.26182,0.6713,0.00342211,0.00342211,0.00342211
93,1622.76,0.9315,0.60248,1.27638,0.8994,0.97588,0.9775,0.71503,0.47513,0.26387,0.6828,0.00332457,0.00332457,0.00332457
94,1639.8,0.90725,0.58503,1.2216,0.96409,0.99905,0.995,0.70052,0.48421,0.2511,0.68669,0.00322778,0.00322778,0.00322778
95,1656.97,0.92854,0.60493,1.23089,0.95418,0.98214,0.9725,0.69271,0.49936,0.27254,0.68073,0.0031318,0.0031318,0.0031318
96,1674.19,0.94515,0.59338,1.24925,0.93648,1,0.995,0.69848,0.4783,0.25589,0.67603,0.00303665,0.00303665,0.00303665
97,1691.31,0.88904,0.5863,1.19182,0.94067,0.95921,0.9775,0.70988,0.46645,0.25589,0.66199,0.00294239,0.00294239,0.00294239
98,1708.51,0.87822,0.57738,1.21009,0.95492,0.97531,0.9775,0.68037,0.49933,0.26803,0.67793,0.00284906,0.00284906,0.00284906
99,1725.63,0.8819,0.57078,1.19287,0.95784,1,0.99063,0.71838,0.46598,0.2439,0.65104,0.00275668,0.00275668,0.00275668
100,1742.83,0.90701,0.56545,1.24262,0.95232,1,0.99063,0.70781,0.47391,0.2419,0.65973,0.00266532,0.00266532,0.00266532
101,1760,0.90505,0.59321,1.21287,0.94927,0.99546,0.99281,0.71361,0.45262,0.24466,0.65531,0.002575,0.002575,0.002575
102,1777.2,0.87795,0.54541,1.20638,0.95326,0.98214,0.96982,0.6964,0.49047,0.25729,0.68313,0.00248577,0.00248577,0.00248577
103,1794.33,0.87636,0.56858,1.21904,0.97852,1,0.995,0.73138,0.45624,0.24129,0.65225,0.00239766,0.00239766,0.00239766
104,1811.55,0.89986,0.56628,1.22651,0.9631,1,0.995,0.70854,0.46607,0.24641,0.66615,0.00231071,0.00231071,0.00231071
105,1828.67,0.84581,0.54161,1.18564,0.97074,1,0.995,0.71637,0.45745,0.23565,0.65899,0.00222497,0.00222497,0.00222497
106,1845.85,0.83051,0.54108,1.16012,0.98379,1,0.995,0.72464,0.45823,0.23097,0.65657,0.00214046,0.00214046,0.00214046
107,1862.96,0.85427,0.55684,1.18399,0.97981,1,0.995,0.73384,0.44203,0.22952,0.64294,0.00205723,0.00205723,0.00205723
108,1880.18,0.8535,0.52853,1.18486,0.97852,1,0.995,0.73931,0.42659,0.22972,0.63096,0.00197532,0.00197532,0.00197532
109,1897.47,0.83755,0.53135,1.17638,0.96851,0.99859,0.995,0.72233,0.46143,0.22865,0.65666,0.00189475,0.00189475,0.00189475
110,1914.64,0.83852,0.51618,1.17552,0.97758,1,0.995,0.73989,0.44217,0.21983,0.64326,0.00181557,0.00181557,0.00181557
111,1931.98,0.82928,0.50036,1.13918,0.98369,1,0.995,0.73829,0.43756,0.22989,0.64337,0.0017378,0.0017378,0.0017378
112,1949.14,0.87678,0.5437,1.19061,0.96732,1,0.995,0.74939,0.432,0.2214,0.64123,0.00166149,0.00166149,0.00166149
113,1966.51,0.83546,0.52295,1.19875,0.97899,0.99943,0.995,0.72134,0.44393,0.21855,0.65024,0.00158667,0.00158667,0.00158667
114,1983.65,0.83157,0.52038,1.17318,0.98835,1,0.995,0.73044,0.44641,0.21764,0.66175,0.00151336,0.00151336,0.00151336
115,2000.85,0.80049,0.50869,1.15337,0.98693,0.99811,0.995,0.74105,0.4393,0.22334,0.64147,0.00144161,0.00144161,0.00144161
116,2017.97,0.83033,0.52857,1.20127,0.97365,0.9894,0.995,0.73725,0.45123,0.21961,0.64848,0.00137143,0.00137143,0.00137143
117,2035.13,0.87131,0.53318,1.20495,0.97599,0.99388,0.995,0.7267,0.44439,0.21646,0.65573,0.00130287,0.00130287,0.00130287
118,2052.37,0.7799,0.49774,1.14827,0.98029,1,0.995,0.74266,0.43197,0.22147,0.63285,0.00123596,0.00123596,0.00123596
119,2069.47,0.81577,0.52605,1.16281,0.98233,1,0.995,0.72198,0.45052,0.22807,0.64181,0.00117072,0.00117072,0.00117072
120,2086.65,0.77956,0.49863,1.13925,0.97034,1,0.995,0.74705,0.44152,0.22292,0.64355,0.00110718,0.00110718,0.00110718
121,2103.83,0.79747,0.50576,1.14851,0.97506,1,0.995,0.74217,0.43036,0.20968,0.63279,0.00104537,0.00104537,0.00104537
122,2120.95,0.78373,0.48244,1.1542,0.97904,1,0.995,0.74258,0.43312,0.21059,0.63377,0.000985311,0.000985311,0.000985311
123,2138.08,0.78497,0.48549,1.14292,0.97787,1,0.995,0.73603,0.43151,0.20698,0.63043,0.00092704,0.00092704,0.00092704
124,2155.27,0.79963,0.5041,1.15105,0.97039,1,0.995,0.74813,0.4192,0.20216,0.63433,0.000870577,0.000870577,0.000870577
125,2172.41,0.77996,0.48035,1.15065,0.9739,1,0.995,0.74282,0.43355,0.20947,0.64066,0.000815947,0.000815947,0.000815947
126,2189.59,0.77301,0.47744,1.14856,0.97785,0.99717,0.995,0.75115,0.42233,0.20474,0.62761,0.000763174,0.000763174,0.000763174
127,2206.93,0.78122,0.49381,1.14936,0.97735,1,0.995,0.74546,0.42322,0.20926,0.62654,0.000712282,0.000712282,0.000712282
128,2224.1,0.75851,0.47129,1.10563,0.976,1,0.995,0.73971,0.44647,0.21258,0.65316,0.000663292,0.000663292,0.000663292
129,2241.22,0.76932,0.45694,1.13721,0.97701,1,0.995,0.74928,0.43544,0.20859,0.64719,0.000616227,0.000616227,0.000616227
130,2258.32,0.76198,0.46636,1.12194,0.97965,1,0.995,0.74414,0.43219,0.20864,0.63874,0.000571106,0.000571106,0.000571106
131,2275.46,0.791,0.47924,1.18481,0.97983,1,0.995,0.74349,0.43283,0.20891,0.64256,0.00052795,0.00052795,0.00052795
132,2292.57,0.76092,0.47801,1.13743,0.9788,0.9996,0.995,0.74503,0.43173,0.20917,0.63961,0.000486777,0.000486777,0.000486777
133,2309.72,0.77873,0.47307,1.13298,0.9786,0.99802,0.995,0.75516,0.43099,0.20632,0.63766,0.000447606,0.000447606,0.000447606
134,2327.06,0.76685,0.47107,1.1102,0.97914,0.99742,0.995,0.74986,0.43155,0.20406,0.63945,0.000410454,0.000410454,0.000410454
135,2344.21,0.74591,0.4603,1.12964,0.97817,1,0.995,0.74571,0.43796,0.20917,0.64165,0.000375337,0.000375337,0.000375337
136,2361.37,0.7727,0.46178,1.1356,0.97676,1,0.995,0.73483,0.44085,0.20961,0.64167,0.00034227,0.00034227,0.00034227
137,2378.44,0.77413,0.47542,1.1544,0.97585,1,0.995,0.73755,0.43711,0.21019,0.64287,0.000311268,0.000311268,0.000311268
138,2395.63,0.7364,0.46064,1.115,0.97562,0.9976,0.995,0.74614,0.43544,0.20796,0.63977,0.000282345,0.000282345,0.000282345
139,2412.85,0.76429,0.47213,1.1343,0.97478,0.99687,0.995,0.74716,0.43052,0.20798,0.63125,0.000255513,0.000255513,0.000255513
140,2430.01,0.76749,0.46742,1.13027,0.97482,0.9965,0.995,0.74953,0.42041,0.20792,0.62773,0.000230784,0.000230784,0.000230784
141,2447.47,0.68473,0.39408,1.1571,0.98172,0.9996,0.995,0.74119,0.41791,0.21278,0.63207,0.000208169,0.000208169,0.000208169
142,2464.58,0.67934,0.38802,1.16855,0.98288,1,0.995,0.73674,0.42081,0.21128,0.63485,0.000187678,0.000187678,0.000187678
143,2481.72,0.68295,0.38696,1.16394,0.97812,0.99706,0.995,0.74125,0.42264,0.21012,0.6341,0.00016932,0.00016932,0.00016932
144,2498.8,0.69216,0.38086,1.15885,0.98429,1,0.995,0.73994,0.42565,0.20775,0.63687,0.000153102,0.000153102,0.000153102
145,2515.91,0.68626,0.40371,1.19292,0.98464,1,0.995,0.74338,0.42276,0.20443,0.63506,0.000139032,0.000139032,0.000139032
146,2533.11,0.67309,0.37721,1.15765,0.98418,1,0.995,0.74756,0.42269,0.20822,0.63503,0.000127117,0.000127117,0.000127117
147,2550.27,0.66481,0.37712,1.16131,0.98378,1,0.995,0.75389,0.42337,0.20889,0.63561,0.00011736,0.00011736,0.00011736
148,2567.38,0.67943,0.37832,1.16473,0.97695,0.99977,0.995,0.7558,0.42386,0.20999,0.6341,0.000109768,0.000109768,0.000109768
149,2584.66,0.6726,0.37808,1.15211,0.97655,1,0.995,0.74595,0.42188,0.21036,0.63183,0.000104342,0.000104342,0.000104342
150,2601.79,0.70112,0.3857,1.19365,0.98109,1,0.995,0.74863,0.41992,0.20833,0.63063,0.000101086,0.000101086,0.000101086
